x, y, z
2020-04-04 9:01:02,14034,402
2020-04-04 9:01:03,14031,410
2020-04-04 9:01:04,14031,431
2020-04-04 9:01:05,14032,435
2020-04-04 9:01:06,14033,432
2020-04-04 9:01:07,14030,432
2020-04-04 9:01:08,14032,427
2020-04-04 9:01:09,14030,423
2020-04-04 9:01:10,14029,420
2020-04-04 9:01:11,14030,418
2020-04-04 9:01:12,14029,425
2020-04-04 9:01:13,14030,426
2020-04-04 9:01:15,14031,420
2020-04-04 9:01:16,14028,421
2020-04-04 9:01:17,14029,423
2020-04-04 9:01:18,14032,434
2020-04-04 9:01:19,14034,435
2020-04-04 9:01:20,14034,435
2020-04-04 9:01:21,14033,430
2020-04-04 9:01:22,14033,426
2020-04-04 9:01:23,14034,426
2020-04-04 9:01:24,14036,421
2020-04-04 9:01:25,14036,429
2020-04-04 9:01:26,14038,423
2020-04-04 9:01:27,14037,417
2020-04-04 9:01:28,14037,419
2020-04-04 9:01:31,14036,401
2020-04-04 9:01:32,14036,395
2020-04-04 9:01:33,14037,393
2020-04-04 9:01:34,14035,387
2020-04-04 9:01:35,14035,383
2020-04-04 9:01:36,14035,379
2020-04-04 9:01:37,14034,376
2020-04-04 9:01:39,14032,365
2020-04-04 9:01:40,14033,370
2020-04-04 9:01:41,14031,365
2020-04-04 9:01:44,14032,347
2020-04-04 9:01:45,14033,346
2020-04-04 9:01:48,14033,328
2020-04-04 9:01:49,14034,335
2020-04-04 9:01:52,14033,322
2020-04-04 9:01:56,14032,298
2020-04-04 9:01:58,14031,286
2020-04-04 9:02:00,14031,277
2020-04-04 9:02:01,14030,273
2020-04-04 9:02:02,14033,290
2020-04-04 9:02:03,14037,288
2020-04-04 9:02:04,14038,292
2020-04-04 9:02:05,14040,293
2020-04-04 9:02:06,14041,288
2020-04-04 9:02:07,14041,292
2020-04-04 9:02:08,14038,288
2020-04-04 9:02:09,14038,283
2020-04-04 9:02:10,14038,279
2020-04-04 9:02:11,14039,277
2020-04-04 9:02:12,14038,273
2020-04-04 9:02:13,14040,276
2020-04-04 9:02:14,14040,273
2020-04-04 9:02:15,14040,272
2020-04-04 9:02:16,14040,273
2020-04-04 9:02:17,14043,279
2020-04-04 9:02:18,14043,277
2020-04-04 9:02:19,14043,274
2020-04-04 9:02:20,14042,280
2020-04-04 9:02:21,14045,278
2020-04-04 9:02:22,14044,282
2020-04-04 9:02:23,14044,280
2020-04-04 9:02:25,14043,276
2020-04-04 9:02:26,14043,272
2020-04-04 9:02:28,14044,264
2020-04-04 9:02:29,14043,261
2020-04-04 9:02:31,14042,259
2020-04-04 9:02:33,14042,257
2020-04-04 9:02:35,14040,249
2020-04-04 9:02:36,14040,246
2020-04-04 9:02:37,14040,246
2020-04-04 9:02:38,14041,243
2020-04-04 9:02:41,14042,235
2020-04-04 9:02:43,14041,229
2020-04-04 9:02:44,14042,228
2020-04-04 9:02:45,14043,227
2020-04-04 9:02:46,14041,229
2020-04-04 9:02:48,14041,222
2020-04-04 9:02:50,14041,218
2020-04-04 9:02:51,14041,228
2020-04-04 9:02:56,14042,209
2020-04-04 9:02:58,14043,208
2020-04-04 9:02:59,14043,205
2020-04-04 9:03:00,14044,212
2020-04-04 9:03:01,14044,214
2020-04-04 9:03:02,14039,219
2020-04-04 9:03:03,14041,228
2020-04-04 9:03:04,14041,224
2020-04-04 9:03:05,14040,226
2020-04-04 9:03:06,14041,226
2020-04-04 9:03:07,14041,223
2020-04-04 9:03:08,14040,220
2020-04-04 9:03:09,14039,219
2020-04-04 9:03:11,14038,213
2020-04-04 9:03:12,14039,210
2020-04-04 9:03:13,14040,208
2020-04-04 9:03:14,14041,208
2020-04-04 9:03:15,14040,206
2020-04-04 9:03:16,14040,206
2020-04-04 9:03:17,14040,205
2020-04-04 9:03:18,14040,202
2020-04-04 9:03:20,14041,198
2020-04-04 9:03:23,14041,193
2020-04-04 9:03:24,14042,192
2020-04-04 9:03:25,14042,191
2020-04-04 9:03:27,14043,187
2020-04-04 9:03:28,14042,186
2020-04-04 9:03:29,14042,185
2020-04-04 9:03:31,14042,188
2020-04-04 9:03:32,14041,188
2020-04-04 9:03:34,14040,185
2020-04-04 9:03:35,14041,187
2020-04-04 9:03:36,14040,190
2020-04-04 9:03:37,14039,191
2020-04-04 9:03:38,14039,206
2020-04-04 9:03:39,14041,204
2020-04-04 9:03:41,14040,198
2020-04-04 9:03:43,14041,194
2020-04-04 9:03:44,14042,194
2020-04-04 9:03:47,14042,188
2020-04-04 9:03:48,14043,194
2020-04-04 9:03:49,14044,192
2020-04-04 9:03:50,14043,193
2020-04-04 9:03:51,14045,193
2020-04-04 9:03:52,14045,191
2020-04-04 9:03:54,14046,186
2020-04-04 9:03:55,14045,185
2020-04-04 9:03:57,14044,186
2020-04-04 9:03:58,14041,188
2020-04-04 9:03:59,14040,189
2020-04-04 9:04:01,14038,188
2020-04-04 9:04:02,14037,194
2020-04-04 9:04:03,14037,194
2020-04-04 9:04:04,14035,194
2020-04-04 9:04:05,14035,199
2020-04-04 9:04:06,14032,203
2020-04-04 9:04:07,14032,206
2020-04-04 9:04:08,14033,210
2020-04-04 9:04:11,14035,204
2020-04-04 9:04:12,14038,202
2020-04-04 9:04:14,14038,196
2020-04-04 9:04:15,14039,197
2020-04-04 9:04:16,14038,202
2020-04-04 9:04:17,14039,201
2020-04-04 9:04:20,14038,194
2020-04-04 9:04:21,14039,195
2020-04-04 9:04:23,14038,191
2020-04-04 9:04:24,14040,203
2020-04-04 9:04:25,14040,202
2020-04-04 9:04:26,14040,208
2020-04-04 9:04:27,14040,211
2020-04-04 9:04:28,14041,210
2020-04-04 9:04:29,14041,211
2020-04-04 9:04:30,14041,213
2020-04-04 9:04:33,14042,226
2020-04-04 9:04:34,14044,231
2020-04-04 9:04:35,14042,232
2020-04-04 9:04:36,14040,231
2020-04-04 9:04:37,14038,233
2020-04-04 9:04:41,14036,223
2020-04-04 9:04:42,14037,227
2020-04-04 9:04:43,14036,226
2020-04-04 9:04:44,14036,223
2020-04-04 9:04:45,14037,223
2020-04-04 9:04:46,14036,222
2020-04-04 9:04:48,14036,217
2020-04-04 9:04:50,14037,220
2020-04-04 9:04:53,14033,224
2020-04-04 9:04:54,14035,222
2020-04-04 9:04:55,14036,220
2020-04-04 9:04:56,14036,217
2020-04-04 9:04:57,14036,215
2020-04-04 9:04:59,14034,211
2020-04-04 9:05:00,14035,215
2020-04-04 9:05:01,14033,215
2020-04-04 9:05:02,14032,215
2020-04-04 9:05:03,14031,219
2020-04-04 9:05:04,14031,219
2020-04-04 9:05:05,14031,220
2020-04-04 9:05:06,14035,223
2020-04-04 9:05:07,14034,224
2020-04-04 9:05:08,14036,229
2020-04-04 9:05:09,14036,227
2020-04-04 9:05:10,14037,226
2020-04-04 9:05:11,14038,225
2020-04-04 9:05:12,14037,230
2020-04-04 9:05:13,14036,239
2020-04-04 9:05:14,14036,240
2020-04-04 9:05:15,14036,246
2020-04-04 9:05:16,14039,243
2020-04-04 9:05:17,14039,247
2020-04-04 9:05:18,14039,245
2020-04-04 9:05:20,14039,241
2020-04-04 9:05:21,14040,239
2020-04-04 9:05:22,14040,265
2020-04-04 9:05:23,14037,264
2020-04-04 9:05:24,14036,267
2020-04-04 9:05:25,14037,271
2020-04-04 9:05:26,14037,272
2020-04-04 9:05:27,14037,271
2020-04-04 9:05:28,14037,269
2020-04-04 9:05:29,14037,276
2020-04-04 9:05:30,14035,286
2020-04-04 9:05:31,14035,283
2020-04-04 9:05:32,14034,285
2020-04-04 9:05:34,14033,278
2020-04-04 9:05:35,14034,281
2020-04-04 9:05:36,14035,278
2020-04-04 9:05:37,14034,283
2020-04-04 9:05:38,14031,283
2020-04-04 9:05:39,14031,282
2020-04-04 9:05:41,14032,276
2020-04-04 9:05:42,14033,276
2020-04-04 9:05:44,14033,282
2020-04-04 9:05:45,14030,293
2020-04-04 9:05:46,14030,292
2020-04-04 9:05:47,14028,306
2020-04-04 9:05:48,14028,305
2020-04-04 9:05:50,14029,301
2020-04-04 9:05:52,14032,300
2020-04-04 9:05:55,14032,289
2020-04-04 9:05:57,14031,283
2020-04-04 9:05:59,14031,280
2020-04-04 9:06:00,14030,281
2020-04-04 9:06:01,14028,283
2020-04-04 9:06:02,14029,284
2020-04-04 9:06:03,14028,282
2020-04-04 9:06:04,14028,281
2020-04-04 9:06:05,14030,285
2020-04-04 9:06:08,14031,273
2020-04-04 9:06:09,14030,273
2020-04-04 9:06:10,14031,271
2020-04-04 9:06:11,14031,268
2020-04-04 9:06:13,14032,261
2020-04-04 9:06:14,14032,261
2020-04-04 9:06:15,14031,258
2020-04-04 9:06:16,14034,255
2020-04-04 9:06:17,14033,253
2020-04-04 9:06:20,14031,245
2020-04-04 9:06:21,14032,242
2020-04-04 9:06:22,14034,243
2020-04-04 9:06:24,14035,235
2020-04-04 9:06:25,14032,234
2020-04-04 9:06:26,14031,232
2020-04-04 9:06:27,14032,229
2020-04-04 9:06:29,14033,231
2020-04-04 9:06:31,14032,226
2020-04-04 9:06:32,14032,225
2020-04-04 9:06:33,14031,221
2020-04-04 9:06:35,14031,216
2020-04-04 9:06:38,14031,217
2020-04-04 9:06:39,14030,218
2020-04-04 9:06:42,14030,212
2020-04-04 9:06:43,14030,211
2020-04-04 9:06:45,14029,207
2020-04-04 9:06:47,14029,201
2020-04-04 9:06:48,14029,199
2020-04-04 9:06:49,14030,198
2020-04-04 9:06:50,14029,196
2020-04-04 9:06:51,14030,195
2020-04-04 9:06:52,14031,193
2020-04-04 9:06:53,14030,204
2020-04-04 9:06:54,14026,201
2020-04-04 9:06:55,14024,230
2020-04-04 9:06:56,14022,233
2020-04-04 9:06:57,14024,237
2020-04-04 9:06:58,14023,240
2020-04-04 9:06:59,14023,243
2020-04-04 9:07:00,14021,242
2020-04-04 9:07:01,14020,259
2020-04-04 9:07:02,14018,258
2020-04-04 9:07:03,14018,260
2020-04-04 9:07:04,14016,261
2020-04-04 9:07:05,14015,272
2020-04-04 9:07:06,14018,279
2020-04-04 9:07:07,14017,291
2020-04-04 9:07:09,14019,286
2020-04-04 9:07:10,14018,285
2020-04-04 9:07:11,14019,285
2020-04-04 9:07:12,14021,288
2020-04-04 9:07:13,14023,290
2020-04-04 9:07:14,14022,288
2020-04-04 9:07:16,14022,285
2020-04-04 9:07:17,14020,284
2020-04-04 9:07:20,14022,287
2020-04-04 9:07:22,14021,283
2020-04-04 9:07:23,14020,282
2020-04-04 9:07:24,14020,279
2020-04-04 9:07:26,14020,272
2020-04-04 9:07:27,14020,272
2020-04-04 9:07:28,14021,269
2020-04-04 9:07:29,14021,266
2020-04-04 9:07:30,14021,268
2020-04-04 9:07:32,14021,262
2020-04-04 9:07:33,14021,262
2020-04-04 9:07:34,14021,261
2020-04-04 9:07:36,14018,264
2020-04-04 9:07:37,14019,262
2020-04-04 9:07:38,14021,262
2020-04-04 9:07:40,14021,255
2020-04-04 9:07:42,14023,252
2020-04-04 9:07:43,14026,250
2020-04-04 9:07:45,14025,245
2020-04-04 9:07:46,14024,247
2020-04-04 9:07:48,14024,241
2020-04-04 9:07:49,14024,240
2020-04-04 9:07:50,14024,238
2020-04-04 9:07:51,14023,236
2020-04-04 9:07:52,14019,234
2020-04-04 9:07:54,14020,230
2020-04-04 9:07:55,14019,232
2020-04-04 9:07:56,14018,232
2020-04-04 9:07:58,14017,227
2020-04-04 9:07:59,14015,224
2020-04-04 9:08:00,14014,234
2020-04-04 9:08:01,14016,237
2020-04-04 9:08:02,14016,235
2020-04-04 9:08:03,14015,235
2020-04-04 9:08:04,14015,232
2020-04-04 9:08:05,14014,234
2020-04-04 9:08:06,14015,239
2020-04-04 9:08:07,14012,242
2020-04-04 9:08:08,14013,246
2020-04-04 9:08:10,14011,240
2020-04-04 9:08:11,14010,240
2020-04-04 9:08:12,14009,242
2020-04-04 9:08:13,14009,247
2020-04-04 9:08:14,14007,246
2020-04-04 9:08:15,14008,245
2020-04-04 9:08:16,14007,243
2020-04-04 9:08:17,14007,274
2020-04-04 9:08:18,14007,279
2020-04-04 9:08:19,14008,276
2020-04-04 9:08:20,14008,274
2020-04-04 9:08:22,14007,274
2020-04-04 9:08:23,14006,275
2020-04-04 9:08:24,14006,281
2020-04-04 9:08:25,14006,278
2020-04-04 9:08:26,14009,283
2020-04-04 9:08:27,14008,279
2020-04-04 9:08:28,14008,278
2020-04-04 9:08:29,14009,277
2020-04-04 9:08:30,14010,277
2020-04-04 9:08:31,14009,275
2020-04-04 9:08:32,14008,274
2020-04-04 9:08:33,14009,273
2020-04-04 9:08:34,14010,272
2020-04-04 9:08:36,14011,265
2020-04-04 9:08:37,14009,266
2020-04-04 9:08:39,14011,272
2020-04-04 9:08:40,14013,285
2020-04-04 9:08:41,14014,290
2020-04-04 9:08:42,14014,289
2020-04-04 9:08:43,14014,292
2020-04-04 9:08:44,14013,291
2020-04-04 9:08:45,14012,288
2020-04-04 9:08:46,14012,288
2020-04-04 9:08:49,14011,275
2020-04-04 9:08:50,14012,273
2020-04-04 9:08:51,14011,269
2020-04-04 9:08:53,14012,266
2020-04-04 9:08:54,14011,266
2020-04-04 9:08:55,14010,262
2020-04-04 9:08:56,14010,259
2020-04-04 9:08:57,14009,255
2020-04-04 9:09:00,14008,245
2020-04-04 9:09:01,14008,251
2020-04-04 9:09:02,14007,248
2020-04-04 9:09:03,14007,250
2020-04-04 9:09:05,14007,245
2020-04-04 9:09:06,14005,243
2020-04-04 9:09:07,14005,240
2020-04-04 9:09:08,14006,239
2020-04-04 9:09:10,14005,235
2020-04-04 9:09:11,14005,242
2020-04-04 9:09:12,14005,241
2020-04-04 9:09:13,14005,239
2020-04-04 9:09:14,14004,237
2020-04-04 9:09:16,14004,235
2020-04-04 9:09:18,14003,241
2020-04-04 9:09:19,14002,253
2020-04-04 9:09:20,14004,253
2020-04-04 9:09:21,14002,253
2020-04-04 9:09:22,14002,252
2020-04-04 9:09:23,14002,267
2020-04-04 9:09:24,14001,268
2020-04-04 9:09:25,14001,318
2020-04-04 9:09:26,14000,316
2020-04-04 9:09:27,14000,313
2020-04-04 9:09:29,14000,306
2020-04-04 9:09:30,13999,307
2020-04-04 9:09:31,14000,309
2020-04-04 9:09:32,14002,310
2020-04-04 9:09:33,14002,311
2020-04-04 9:09:34,14002,317
2020-04-04 9:09:35,14002,321
2020-04-04 9:09:36,14002,322
2020-04-04 9:09:37,14002,319
2020-04-04 9:09:38,14000,320
2020-04-04 9:09:39,14000,316
